olympics_id,rank_id,country_id,countrycode_id,gold_id,silver_id,bronze_id,total_id
0,0,country_id,cou,0,0,0,0
1,0,US,40,44,42,126,NULL
2,0,CHN,40,27,24,91,NULL
3,0,JPN,20,12,13,45,NULL
4,0,AUS,18,19,16,53,NULL
5,0,FRA,16,26,22,64,NULL
6,0,NED,15,7,12,34,NULL
7,0,GBG,14,22,29,65,NULL
8,0,KOR,13,9,10,32,NULL
9,0,ITA,12,13,15,40,NULL
10,0,GER,12,13,8,33,NULL
11,0,NZ,10,7,3,20,NULL
12,0,CAN,9,7,11,27,NULL
13,0,UZB,8,2,3,13,NULL
14,0,HUN,6,7,6,19,NULL
15,0,SPA,5,4,9,18,NULL
16,0,SWE,4,4,3,11,NULL
17,0,KEN,4,2,5,11,NULL
18,0,NOR,4,1,3,8,NULL
19,0,IRE,4,0,3,7,NULL
20,0,BRZ,3,7,10,20,NULL
21,0,IRN,3,6,3,12,NULL
22,0,UKR,3,5,4,12,NULL
23,0,ROM,3,4,2,9,NULL
24,0,GEO,3,3,1,7,NULL
25,0,BEL,3,1,6,10,NULL
26,0,BUL,3,1,3,7,NULL
27,0,SER,3,1,1,5,NULL
28,0,CZE,3,0,2,5,NULL
29,0,DEN,2,2,5,9,NULL
30,0,AZE,2,2,3,7,NULL
32,0,CUB,2,1,6,9,NULL
33,0,BHR,2,1,1,4,NULL
34,0,SLO,2,1,0,3,NULL
35,0,TPE,2,0,5,7,NULL
36,0,AUT,2,0,3,5,NULL
37,0,HK,2,0,2,4,NULL
39,0,ALG,2,0,1,3,NULL
41,0,ISR,1,5,1,7,NULL
42,0,POL,1,4,5,10,NULL
43,0,KAZ,1,3,3,7,NULL
44,0,JAM,1,3,2,6,NULL
47,0,ETH,1,3,0,4,NULL
48,0,SWI,1,2,5,8,NULL
49,0,ECU,1,2,2,5,NULL
50,0,POR,1,2,1,4,NULL
51,0,GRE,1,1,6,8,NULL
52,0,ARG,1,1,1,3,NULL
55,0,BOT,1,1,0,2,NULL
59,0,DOM,1,0,2,3,NULL
60,0,GUA,1,0,1,2,NULL
62,0,DMA,1,0,0,1,NULL
64,0,TUR,0,3,5,8,NULL
65,0,MEX,0,3,2,5,NULL
66,0,ARM,0,3,1,4,NULL
68,0,PRK,0,2,4,6,NULL
70,0,LTU,0,2,2,4,NULL
71,0,IND,0,1,5,6,NULL
72,0,MDA,0,1,3,4,NULL
73,0,KOS,0,1,1,2,NULL
74,0,CYP,0,1,0,1,NULL
79,0,TJK,0,0,3,3,NULL
80,0,ALB,0,0,2,2,NULL
84,0,CPV,0,0,1,1,NULL
